Goroka,AYGA
Tegel,EDDT
Hannover,EDDV
Neuenland,EDDW
Egelsbach,EDFE
Frankfurt Hahn,EDFH
Mannheim City,EDFM
Allendorf Eder,EDFQ
Worms,EDFV
Mainz Finthen,EDFZ
Eisenach Kindel,EDGE
Siegerland,EDGS
Hamburg Finkenwerder,EDHI
Kiel Holtenau,EDHK
Lubeck Blankensee,EDHL
Dahlemer Binz,EDKV
Meinerzhagen,EDKZ
Arnsberg Menden,EDLA
Essen Mulheim,EDLE
Bielefeld,EDLI
Monchengladbach,EDLN
Paderborn Lippstadt,EDLP
Stadtlohn Vreden,EDLS
Dortmund,EDLW
Augsburg,EDMA
Biberach An Der Riss,EDMB
Eggenfelden,EDME
Mindelheim Mattsies,EDMN
Oberpfaffenhofen,EDMO
Straubing,EDMS
Vilshofen,EDMV
Leutkirch Unterzeil,EDNL
Friedrichshafen,EDNY
Schwerin Parchim,EDOP
Stendal Borstel,EDOV
Aalen Heidenheim Elchingen,EDPA
Bayreuth,EDQD
Burg Feuerstein,EDQE
Hof Plauen,EDQM
Hassfurt Schweinfurt,EDQT
Koblenz Winningen,EDRK
Trier Fohren,EDRT
Speyer,EDRY
Zweibrucken,EDRZ
Donaueschingen Villingen,EDTD
Freiburg,EDTF
Mengen Hohentengen,EDTM
Schwabisch Hall,EDTY
Finsterwalde Schacksdorf,EDUS
Braunschweig Wolfsburg,EDVE
Kassel Calden,EDVK
Hildesheim,EDVM
Bremerhaven,EDWB
Emden,EDWE
Leer Papenburg,EDWF
Wilhelmshaven Mariensiel,EDWI
Borkum,EDWR
Norderney,EDWY
Flensburg Schaferhaus,EDXF
Rendsburg Schachtholm,EDXR
Westerland Sylt,EDXW
Amari,EEEI
Kardla,EEKA
Kuressaare,EEKE
Parnu,EEPU
Tallinn,EETN
Tartu,EETU
Enontekio,EFET
Eura,EFEU
Halli,EFHA
Helsinki Malmi,EFHF
Helsinki Vantaa,EFHK
Hameenkyro,EFHM
Hanko,EFHN
Hyvinkaa,EFHV
Kiikala,EFIK
Immola,EFIM
Kitee,EFIT
Ivalo,EFIV
Joensuu,EFJO
Jyvaskyla,EFJY
Kauhava,EFKA
Kemi Tornio,EFKE
Kajaani,EFKI
Kauhajoki,EFKJ
Kruunupyy,EFKK
Kemijarvi,EFKM
Kuusamo,EFKS
Kittila,EFKT
Kuopio,EFKU
Lahti Vesivehmaa,EFLA
Lappeenranta,EFLP
Mariehamn,EFMA
Menkijarvi,EFME
Mikkeli,EFMI
Nummela,EFNU
Oulu,EFOU
Piikajarvi,EFPI
Pori,EFPO
Pudasjarvi,EFPU
Pyhasalmi,EFPY
Raahe Pattijoki,EFRH
Rantasalmi,EFRN
Rovaniemi,EFRO
Rayskala,EFRY
Savonlinna,EFSA
Selanpaa,EFSE
Sodankyla,EFSO
Tampere Pirkkala,EFTP
Teisko,EFTS
Turku,EFTU
Utti,EFUT
Vaasa,EFVA
Varkaus,EFVR
Ylivieska,EFYL
Aldergrove,EGAA
St Angelo,EGAB
City,EGAC
Londonderry Eglinton,EGAE
Birmingham,EGBB
Coventry,EGBE
Leicester,EGBG
Gloucestershire,EGBJ
Wolverhampton,EGBO
Kemble,EGBP
Turweston,EGBT
Wellesbourne Mountford,EGBW
Manchester,EGCC
Manchester Woodford,EGCD
Chivenor,EGDC
St Mawgan,EGDG
Lyneham,EGDL
Boscombe Down,EGDM
Culdrose,EGDR
St Athan,EGDX
Yeovilton,EGDY
Haverfordwest,EGFE
Cardiff,EGFF
Swansea,EGFH
Bristol,EGGD
Liverpool,EGGP
Luton,EGGW
Plymouth,EGHD
Bournemouth,EGHH
Southampton,EGHI
Lasham,EGHL
Alderney,EGJA
Guernsey,EGJB
Jersey,EGJJ
Shoreham,EGKA
Biggin Hill,EGKB
Gatwick,EGKK
City,EGLC
Farnborough,EGLF
Chalgrove,EGLJ
Blackbushe,EGLK
Heathrow,EGLL
Southend,EGMC
Lydd,EGMD
Manston,EGMH
Brough,EGNB
Carlisle,EGNC
Gamston,EGNE
Blackpool,EGNH
Humberside,EGNJ
Walney Island,EGNL
Leeds Bradford,EGNM
Warton,EGNO
Hawarden,EGNR
Isle Of Man,EGNS
Newcastle,EGNT
Durham Tees Valley Airport,EGNV
Nottingham East Midlands,EGNX
Llanbedr,EGOD
Ternhill,EGOE
Shawbury,EGOS
Woodvale,EGOW
Kirkwall,EGPA
Sumburgh,EGPB
Wick,EGPC
Dyce,EGPD
Inverness,EGPE
Glasgow,EGPF
Edinburgh,EGPH
Islay,EGPI
Prestwick,EGPK
Benbecula,EGPL
Scatsta,EGPM
Dundee,EGPN
Stornoway,EGPO
Tiree,EGPU
Leuchars,EGQL
Lossiemouth,EGQS
Cambridge,EGSC
Conington,EGSF
Norwich,EGSH
Stansted,EGSS
North Weald,EGSX
Sheffield City,EGSY
Cranfield,EGTC
Exeter,EGTE
Bristol Filton,EGTG
Kidlington,EGTK
Benson,EGUB
Lakenheath,EGUL
Mildenhall,EGUN
Wattisham,EGUW
Wyton,EGUY
Fairford,EGVA
Brize Norton,EGVN
Odiham,EGVO
Cosford,EGWC
Northolt,EGWU
Coningsby,EGXC
Dishforth,EGXD
Leeming,EGXE
Church Fenton,EGXG
Honington,EGXH
Cottesmore,EGXJ
Scampton,EGXP
Wittering,EGXT
Linton On Ouse,EGXU
Waddington,EGXW
Topcliffe,EGXZ
Cranwell,EGYD
Barkston Heath,EGYE
Marham,EGYM
Mount Pleasant,EGYP
Schiphol,EHAM
Budel,EHBD
Maastricht,EHBK
Deelen,EHDL
Drachten,EHDR
Eindhoven,EHEH
Eelde,EHGG
Gilze Rijen,EHGR
De Kooy,EHKD
Lelystad,EHLE
Leeuwarden,EHLW
Rotterdam,EHRD
Soesterberg,EHSB
Twenthe,EHTW
Valkenburg,EHVB
Woensdrecht,EHWO
Cork,EICK
Galway,EICM
Dublin,EIDW
Connaught,EIKN
Kerry,EIKY
Casement,EIME
Shannon,EINN
Sligo,EISG
Waterford,EIWF
Aarhus,EKAH
Billund,EKBI
Kastrup,EKCH
Esbjerg,EKEB
Gronholt Hillerod,EKGH
Karup,EKKA
Laeso,EKLS
Lolland Falster Maribo,EKMB
Odense,EKOD
Krusa Padborg,EKPB
Roskilde,EKRK
Bornholm Ronne,EKRN
Sonderborg,EKSB
Skrydstrup,EKSP
Skive,EKSV
Thisted,EKTS
Kolding Vamdrup,EKVD
Vagar,EKVG
Aars,EKVH
Stauning,EKVJ
Aalborg,EKYT
Luxembourg,ELLX
Vigra,ENAL
Andenes,ENAN
Alta,ENAT
Bomoen,ENBM
Bronnoy,ENBN
Bodo,ENBO
Flesland,ENBR
Batsfjord,ENBS
Kjevik,ENCN
Dagali,ENDI
Bardufoss,ENDU
Evenes,ENEV
Leirin,ENFG
Floro,ENFL
Gardermoen,ENGM
Karmoy,ENHD
Hasvik,ENHK
Kvernberget,ENKB
Kjeller,ENKJ
Hoybuktmoen,ENKR
Lista,ENLI
Aro,ENML
Kjaerstad,ENMS
Banak,ENNA
Notodden,ENNO
Orland,ENOL
Roros,ENRO
Rygge,ENRY
Longyear,ENSB
Geiteryggen,ENSN
Sorstokken,ENSO
Stokka,ENST
Langnes,ENTC
Torp,ENTO
Vaernes,ENVA
Sola,ENZV
Babice,EPBC
Lecha Walesy,EPGD
Balice,EPKK
Muchowiec,EPKM
Pyrzowice,EPKT
Mielec,EPML
Lawica,EPPO
Jasionka,EPRZ
Goleniow,EPSC
Redzikowo,EPSK
Swidwin,EPSN
Okecie,EPWA
Strachowice,EPWR
Babimost,EPZG
Malmen,ESCF
Bravalla,ESCK
Uppsala,ESCM
Ronneby,ESDF
Rada,ESFR
Landvetter,ESGG
Jonkoping,ESGJ
Falkoping,ESGK
Lidkoping,ESGL
Save,ESGP
Skovde,ESGR
Trollhattan Vanersborg,ESGT
Karlsborg,ESIA
Satenas,ESIB
Barkarby,ESKB
Karlskoga,ESKK
Mora,ESKM
Skavsta,ESKN
Arvika,ESKV
Emmaboda,ESMA
Feringe,ESMG
Kristianstad,ESMK
Landskrona,ESML
Oskarshamn,ESMO
Anderstorp,ESMP
Kalmar,ESMQ
Sturup,ESMS
Halmstad,ESMT
Hagshult,ESMV
Kronoberg,ESMX
Hallviken,ESNA
Hedlanda,ESNC
Sveg,ESND
Gallivare,ESNG
Hudiksvall,ESNH
Jokkmokk,ESNJ
Kramfors Solleftea,ESNK
Lycksele,ESNL
Optand,ESNM
Sundsvall Harnosand,ESNN
Ornskoldsvik,ESNO
Pitea,ESNP
Kiruna,ESNQ
Orsa,ESNR
Skelleftea,ESNS
Sattna,ESNT
Umea,ESNU
Vilhelmina,ESNV
Arvidsjaur,ESNX
Orebro,ESOE
Vasteras,ESOW
Kallax,ESPA
Vidsel,ESPE
Arboga,ESQO
Arlanda,ESSA
Bromma,ESSB
Borlange,ESSD
Hultsfred,ESSF
Gavle,ESSK
Saab,ESSL
Kungsangen,ESSP
Eskilstuna,ESSU
Visby,ESSV
Kalixfors,ESUK
Spangdahlem Ab,ETAD
Ramstein Ab,ETAR
Bamberg Aaf,ETEJ
Giebelstadt Aaf,ETEU
Buckeburg,ETHB
Celle,ETHC
Rheine Bentlage,ETHE
Fritzlar,ETHF
Laupheim,ETHL
Mendig,ETHM
Niederstetten,ETHN
Roth,ETHR
Fassberg,ETHS
Grafenwohr Aaf,ETIC
Hanau Aaf,ETID
Hohenfels Aaf,ETIH
Kitzingen Aaf,ETIN
Nordholz,ETMN
Diepholz,ETND
Geilenkirchen,ETNG
Hohn,ETNH
Jever,ETNJ
Laage,ETNL
Norvenich,ETNN
Schleswig,ETNS
Wittmundhafen,ETNT
Neubrandenburg,ETNU
Wunstorf,ETNW
Vilseck Aaf,ETOI
Coleman Aaf,ETOR
Wiesbaden Aaf,ETOU
Landsberg Lech,ETSA
Buchel,ETSB
Erding,ETSE
Furstenfeldbruck,ETSF
Holzdorf,ETSH
Ingolstadt Manching,ETSI
Lechfeld,ETSL
Neuburg,ETSN
Gutersloh,ETUO
Alexander Bay,FAAB
Aggeneys,FAAG
Brakpan,FABB
Bhisho,FABE
Bloemfontein Intl,FABL
Bethlehem,FABM
Bothaville,FABO
Cape Town Intl,FACT
Calvinia,FACV
Durban Intl,FADN
East London,FAEL
Ermelo,FAEO
Ficksburg Sentraoes,FAFB
Grand Central,FAGC
George,FAGG
Graaff Reinet,FAGR
Grahamstown,FAGT
Greytown,FAGY
Harmony,FAHA
Harrismith,FAHR
Hoedspruit Afb,FAHS
Gariep Dam,FAHV
Johannesburg Intl,FAJS
P C Pelser,FAKD
Kimberley,FAKM
Krugersdorp,FAKR
Kroonstad,FAKS
Johan Pienaar,FAKU
Kleinsee,FAKZ
Lanseria,FALA
Lichtenburg,FALI
Makhado Afb,FALM
Langebaanweg,FALW
Ladysmith,FALY
Middelburg,FAMB
Margate,FAMG
Marble Hall,FAMI
Majuba Power Station,FAMJ
Susse,\N
Malelane,FAMN
Morningside Farm,FAMS
Mkuzi,FAMU
Newcastle,FANC
Nylstroom,FANY
Overberg,FAOB
Oudtshoorn,FAOH
Port Elizabeth Intl,FAPE
Plettenberg Bay,FAPG
Phalaborwa,FAPH
Pietersburg,FAPI
Port St Johns,FAPJ
Pietermaritzburg,FAPM
Pilanesberg Intl,FAPN
Polokwane Intl,FAPP
Potchefstroom,FAPS
Parys,FAPY
Queenstown,FAQT
Richards Bay,FARB
Rustenburg,FARG
Robertson,FARS
Springbok,FASB
Secunda,FASC
Saldanha Vredenburg,FASD
Springs,FASI
Swartkop,FASK
Sishen,FASS
Hendrik Swellengrebel,FASX
Skukuza,FASZ
Tommys Fld,FATF
New Tempe,FATP
Tutuka Power Station,FATT
Tzaneen,FATZ
Prince Mangosuthu Buthelezi,FAUL
Upington,FAUP
Mthatha,FAUT
Vryburg,FAVB
Virginia,FAVG
Vredendal,FAVR
Vereeniging,FAVV
Wonderboom,FAWB
Witbank,FAWI
Waterkloof Afb,FAWK
Welkom,FAWM
Ysterplaat,FAYP
Zeerust,FAZR
Francistown,FBFT
Jwaneng,FBJW
Kasane,FBKE
Maun,FBMN
Sir Seretse Khama Intl,FBSK
Selebi Phikwe,FBSP
Maya Maya,FCBB
Owando,FCOO
Ouesso,FCOU
Pointe Noire,FCPP
Matsapha,FDMS
Bangui M Poko,FEFF
Berberati,FEFT
Bata,FGBT
Malabo,FGSL
Ascension Aux Af,FHAW
Sir Seewoosagur Ramgoolam Intl,FIMP
Plaine Corail,FIMR
Diego Garcia Nsf,FJDG
Tiko,FKKC
Douala,FKKD
Salak,FKKL
Foumban Nkounja,FKKM
Ngaoundere,FKKN
Garoua,FKKR
Bafoussam,FKKU
Bamenda,FKKV
Yaounde Ville,FKKY
Kasompe,FLKE
Livingstone,FLLI
Lusaka Intl,FLLS
Mfuwe,FLMF
Mongu,FLMG
Ndola,FLND
Southdowns,FLSO
Prince Said Ibrahim,FMCH
Bandaressalam,FMCI
Ouani,FMCV
Dzaoudzi Pamandzi,FMCZ
St Denis Gillot,FMEE
St Pierre Pierrefonds,FMEP
Ivato,FMMI
Miandrivazo,FMMN
Sainte Marie,FMMS
Toamasina,FMMT
Morondava,FMMV
Arrachart,FMNA
Avaratra,FMNC
Andapa,FMND
Ambilobe,FMNE
Antsirabato,FMNH
Analalava,FMNL
Philibert Tsiranana,FMNM
Fascene,FMNN
Besalampy,FMNQ
Maroantsetra,FMNR
Sambava,FMNS
Vohimarina,FMNV
Ambalabe,FMNW
Ampampamena,FMNZ
Tolagnaro,FMSD
Fianarantsoa,FMSF
Farafangana,FMSG
Manakara,FMSK
Mananjary,FMSM
Morombe,FMSR
Toliara,FMST
Mbanza Congo,FNBC
Benguela,FNBG
Cabinda,FNCA
Culebra Airport,TJCP
Huambo,FNHU
Kuito,FNKU
Lobito,FNLB
Luanda 4 De Fevereiro,FNLU
Malanje,FNMA
Menongue,FNME
Negage,FNNG
Porto Amboim,FNPA
Saurimo,FNSA
Soyo,FNSO
Lubango,FNUB
Luena,FNUE
Uige,FNUG
Xangongo,FNXA
Oyem,FOGO
Okondja,FOGQ
Lambarene,FOGR
Bitam,FOOB
Port Gentil,FOOG
Omboue Hopital,FOOH
Makokou,FOOK
Leon M Ba,FOOL
Mvengue,FOON
Principe,FPPR
Sao Tome Intl,FPST
Beira,FQBR
Inhambane,FQIN
Lichinga,FQLC
Lumbo,FQLU
Maputo,FQMA
Mueda,FQMD
Mocimboa Da Praia,FQMP
Marrupa,FQMR
Nacala,FQNC
Nampula,FQNP
Pemba,FQPB
Quelimane,FQQL
Songo,FQSG
Tete Chingodzi,FQTT
Ulongwe,FQUG
Vilankulo,FQVL
Alphonse,FSAL
Desroches,FSDR
Farquhar,FSFA
Seychelles Intl,FSIA
Praslin,FSPP
Coetivy,FSSC
Abeche,FTTC
Moundou,FTTD
Ndjamena Hassan Djamous,FTTJ
Faya Largeau,FTTY
J M Nkomo Intl,FVBU
Charles Prince,FVCP
Buffalo Range,FVCZ
Victoria Falls Intl,FVFA
Harare Intl,FVHA
Kariba Intl,FVKB
Mutoko,FVMT
Mutare,FVMU
Masvingo Intl,FVMV
Zvishavane,FVSH
Gweru Thornhill,FVTL
Hwange National Park,FVWN
Chileka Intl,FWCL
Karonga,FWKA
Kasungu,FWKG
Kamuzu Intl,FWKI
Mzuzu,FWUU
Moshoeshoe I Intl,FXMM
Mejametalana,FXMU
Ndjili Intl,FZAA
Ndolo,FZAB
Muanda,FZAG
Kitona Base,FZAI
Bandundu,FZBO
Kikwit,FZCA
Mbandaka,FZEA
Gbadolite,FZFD
Gemena,FZFK
Kotakoli,FZFP
Lisala,FZGA
Kisangani Simisini,FZIA
Matari,FZJH
Bunia,FZKA
Buta Zega,FZKJ
Bukavu Kavumu,FZMA
Goma,FZNA
Kindu,FZOA
Lubumbashi Intl,FZQA
Kolwezi,FZQM
Kalemie,FZRF
Kamina Base,FZSA
Kananga,FZUA
Mbuji Mayi,FZWA
Senou,GABS
Gao,GAGO
Kayes Dag Dag,GAKY
Ambodedjo,GAMB
Tombouctou,GATB
Tessalit,GATS
Banjul Intl,GBYD
Fuerteventura,GCFV
Hierro,GCHI
La Palma,GCLA
Gran Canaria,GCLP
Lanzarote,GCRR
Tenerife Sur,GCTS
Tenerife Norte,GCXO
Melilla,GEML
Freetown Lungi,GFLL
Cufar,GGCF
Monrovia Spriggs Payne,GLMR
Monrovia Roberts Intl,GLRB
Inezgane,GMAA
Plage Blanche,GMAT
Saiss,GMFF
Ifrane,GMFI
Moulay Ali Cherif,GMFK
Bassatine,GMFM
Angads,GMFO
Ben Slimane,GMMB
Sale,GMME
Mohammed V Intl,GMMN
Menara,GMMX
Kenitra,GMMY
Ouarzazate,GMMZ
Cherif El Idrissi,GMTA
Saniat Rmel,GMTN
Ibn Batouta,GMTT
Ziguinchor,GOGG
Cap Skiring,GOGS
Kaolack,GOOK
Leopold Sedar Senghor Intl,GOOY
Saint Louis,GOSS
Bakel,GOTB
Kedougou,GOTK
Tambacounda,GOTT
Aioun El Atrouss,GQNA
Tidjikja,GQND
Kiffa,GQNF
Nema,GQNI
Kaedi,GQNK
Nouakchott,GQNN
Selibady,GQNS
Atar,GQPA
Nouadhibou,GQPP
Bir Moghrein,GQPT
Fria,GUFA
Faranah,GUFH
Labe,GULB
Amilcar Cabral Intl,GVAC
Rabil,GVBA
Maio,GVMA
Preguica,GVSN
Sao Pedro,GVSV
Bole Intl,HAAB
Lideta,HAAL
Arba Minch,HAAM
Axum,HAAX
Bahir Dar,HABD
Dire Dawa Intl,HADR
Gambella,HAGM
Gondar,HAGN
South Ari Atoll,ARIA
Jimma,HAJM
Lalibella,HALL
Makale,HAMK
Asosa,HASO
Bujumbura Intl,HBBA
Egal Intl,HCMH
Berbera,HCMI
Kisimayu,HCMK
Dowagiac Municipal Airport,\N
Alexandria Intl,HEAX
Abu Simbel,HEBL
Cairo Intl,HECA
Cairo West,HECW
Hurghada Intl,HEGN
El Gora,HEGR
Luxor Intl,HELX
Mersa Matruh,HEMM
Port Said,HEPS
St Catherine Intl,HESC
Aswan Intl,HESN
El Tor,HETR
Eldoret Intl,HKEL
Kakamega,HKKG
Kisumu,HKKI
Kitale,HKKT
Cambridge Municipal Airport,\N
Lodwar,HKLO
Lamu Manda,HKLU
Mombasa Moi Intl,HKMO
Naivasha,HKNV
Nairobi Wilson,HKNW
Eastleigh,HKRE
Wajir,HKWJ
Bu Attifel,HLFL
Warehouse 59e,HLGL
Ghat,HLGT
Kufra,HLKF
Benina,HLLB
Sebha,HLLS
Tripoli Intl,HLLT
Marsa Brega,HLMB
Ras Lanuf Oil,HLNF
Hon,HLON
Dahra,HLRA
Ghadames East,HLTD
Zella 74,HLZA
Gisenyi,HRYG
Kigali Intl,HRYR
Kamembe,HRZA
Dongola,HSDN
Damazin,HSDZ
El Fashir,HSFS
Kassala,HSKA
Kadugli,HSLI
El Obeid,HSOB
Juba,HSSJ
Malakal,HSSM
Khartoum,HSSS
Arusha,HTAR
Mwalimu Julius K Nyerere Intl,HTDA
Dodoma,HTDO
Iringa,HTIR
Kilimanjaro Intl,HTKJ
